bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
CM,4,2,0,2,1,3,58,58,58,61,62,62,62,61,63,63,63,63,63,63,63,63,59,59,59,59,59,58,54,54,54,58,15,26,5.9,161.0,525000,4000,258,54,47,43,70,44.0,286,61,44.0,55,63,63,346,64,73,61.0,66,82.0,306,62,73.0,71,55,45,290,54,52.0,62.0,68.0,54,54.0,148,49,56,43.0,48,7,12,14,9,6,1682,357,69,51,63,63,51,60,64
ST,3,4,0,1,2,44,77,77,77,77,77,77,77,77,76,76,76,76,68,68,68,76,57,53,53,53,57,53,48,48,48,53,18,30,6.0,159.0,85000000,23000,365,66,79,76,68,76.0,375,83,78.0,72,63,79,404,83,83,88.0,75,75.0,372,74,81.0,75,74,68,313,54,33.0,78.0,72.0,76,70.0,77,35,20,22.0,55,11,7,14,7,16,1961,412,83,75,68,82,33,71,77
CAM,4,4,0,2,2,73,73,73,73,80,79,79,79,80,80,80,80,79,74,74,74,79,59,56,56,56,59,53,41,41,41,53,12,33,5.4,134.0,9000000,49000,336,73,76,34,78,75.0,424,85,89.0,91,74,85,424,84,76,93.0,78,93.0,308,79,34.0,75,42,78,332,75,26.0,80.0,78.0,73,82.0,80,23,29,28.0,21,6,3,6,3,3,1925,404,80,77,78,86,27,56,80
CDM,2,2,2,2,1,7,50,50,50,51,51,51,51,51,53,53,53,53,56,56,56,53,56,58,58,58,56,57,58,58,58,57,14,22,5.1,152.0,275000,4000,242,44,42,58,62,36.0,259,54,41.0,46,57,61,282,54,59,59.0,55,55.0,277,57,60.0,64,58,38,257,61,57.0,31.0,54.0,54,48.0,168,55,58,55.0,42,8,9,6,7,12,1527,329,57,44,54,57,57,60,59
CDM,2,3,1,2,1,4,56,56,56,59,59,59,59,59,61,61,61,62,63,63,63,62,64,64,64,64,64,63,61,61,61,63,15,23,5.11,150.0,725000,2000,249,49,37,61,68,34.0,280,64,44.0,45,61,66,324,66,66,61.0,62,69.0,280,61,34.0,81,61,43,294,66,60.0,55.0,64.0,49,58.0,185,58,61,66.0,52,8,9,15,5,15,1664,360,66,44,60,64,60,66,65
LM,4,3,0,1,1,6,67,67,67,70,69,69,69,70,70,70,70,70,66,66,66,70,58,55,55,55,58,55,49,49,49,55,19,33,5.1,154.0,14000000,11000,328,69,64,64,72,59.0,333,71,62.0,64,64,72,358,73,74,75.0,69,67.0,321,65,63.0,70,64,59,300,56,38.0,68.0,74.0,64,71.0,103,31,34,38.0,65,16,10,15,8,16,1808,379,74,63,70,71,37,64,71
RB,5,3,2,0,2,49,66,66,66,68,67,67,67,68,68,68,68,69,70,70,70,69,74,74,74,74,74,74,74,74,74,74,15,30,6.0,154.0,6000000,28000,325,69,55,68,74,59.0,316,72,69.0,35,66,74,361,68,67,77.0,74,75.0,329,69,67.0,75,62,56,318,74,77.0,63.0,59.0,45,78.0,235,78,80,77.0,39,6,7,7,12,7,1923,410,67,58,67,73,77,68,76
LM,2,2,2,2,1,4,55,55,55,59,58,58,58,59,60,60,60,61,59,59,59,61,52,52,52,52,52,50,46,46,46,50,15,22,5.1,161.0,300000,800,262,58,56,42,68,38.0,273,60,55.0,39,63,56,323,62,62,67.0,60,72.0,240,50,55.0,57,51,27,245,45,33.0,63.0,65.0,39,50.0,129,41,49,39.0,51,6,14,12,10,9,1523,327,62,48,63,60,42,52,60
CB,2,2,2,2,1,4,57,57,57,54,56,56,56,54,56,56,56,55,61,61,61,55,59,64,64,64,59,60,68,68,68,60,16,34,6.4,192.0,210000,2000,277,54,46,70,63,44.0,281,56,43.0,57,62,63,200,33,35,34.0,64,34.0,343,54,86.0,57,90,56,294,62,69.0,62.0,52.0,49,63.0,192,58,69,65.0,49,15,6,7,9,12,1636,338,34,50,58,55,65,76,65
CB,3,3,2,2,1,3,62,62,62,63,62,62,62,63,63,63,63,62,64,64,64,62,65,66,66,66,65,65,68,68,68,65,16,35,6.0,163.0,220000,4000,306,73,56,65,63,49.0,270,63,34.0,48,60,65,299,53,55,66.0,63,62.0,346,70,74.0,62,70,70,329,80,67.0,61.0,65.0,56,63.0,205,68,70,67.0,54,6,10,16,11,11,1809,381,54,62,63,64,68,70,67
